bin,default_value
1,0.029738173303211993
2,0.030221168666057473
3,0.030677903140870138
4,0.03110695777795338
5,0.03150698586402296
6,0.03187671995422912
7,0.032214978555646256
8,0.03252067241296218
9,0.032792810349602367
10,0.03303050462047433
11,0.03323297573588962
12,0.033399556719985735
13,0.03352969677109337
14,0.03362296429593729
15,0.03367904929427983
16,0.03369776507556786
17,0.03367904929427983
18,0.03362296429593729
19,0.03352969677109337
20,0.033399556719985735
21,0.03323297573588962
22,0.033030504620474334
23,0.032792810349602367
24,0.03252067241296218
25,0.03221497855564625
26,0.03187671995422912
27,0.03150698586402296
28,0.03110695777795338
29,0.030677903140870138
30,0.030221168666057473
31,0.029738173303211993
